investment_amount,opportunity_code,Category,investor_acc_number,investment_number,investment_interest_rate,daily_interest
350000.0,HVD202,Heron View,ZJAN01,2,0.14,134.24657534246577
200000.0,HVK103,Heron View,ZELE01,2,0.14,76.7123287671233
123390.41,HVK301,Heron View,ZHIL01,2,0.14,47.3278284931507
100000.0,HVC202,Heron View,ZALM01,6,0.18,49.31506849315068
100000.0,HVO101,Heron View,ZALM01,7,0.18,49.31506849315068
100000.0,HVO102,Heron View,ZALM01,8,0.18,49.31506849315068
150000.0,HVK403,Heron View,ZALM01,9,0.18,73.97260273972603
400000.0,HVK204,Heron View,ZCAM01,3,0.14,153.4246575342466
110000.0,HVK103,Heron View,ZJOH01,5,0.18,54.24657534246575
110000.0,HVK302,Heron View,ZJOH01,6,0.18,54.24657534246575
110000.0,HVO101,Heron View,ZJOH01,7,0.18,54.24657534246575
110000.0,HVO201,Heron View,ZJOH01,8,0.18,54.24657534246575
1000000.0,HVK105,Heron View,ZBOH01,2,0.18,493.1506849315069
124948.63,HVK301,Heron View,ZJBM01,2,0.14,47.925501917808226
147910.96,HVN304,Heron View,ZMAD01,2,0.14,56.73297095890411
648863.01,HVK304,Heron View,ZSCH02,2,0.18,319.98723780821916
1107195.21,HVK106,Heron View,ZZYL03,3,0.18,546.0140761643836
608441.78,HVK202,Heron View,ZZYL03,4,0.18,300.0534805479452
500000.0,HVM101,Heron View,ZKOO01,3,0.16,219.17808219178082
113202.05,HVC204,Heron View,ZFEM01,3,0.14,43.41996438356165
124948.63,HVK204,Heron View,ZFEM01,4,0.14,47.925501917808226
251198.63,HVK301,Heron View,ZBAR01,2,0.14,96.35015945205481
250000.0,HVO102,Heron View,ZKFT01,2,0.14,95.89041095890411
123565.07,HVK305,Heron View,ZTSH01,2,0.14,47.39482136986302
510000.0,HVK203,Heron View,ZASD01,2,0.16,223.56164383561645
100000.0,HVC305,Heron View,ZKRO01,3,0.16,43.83561643835616
189647.26,HVK403,Heron View,ZKRO01,4,0.16,83.13304547945205
300000.0,HVI201,Heron View,ZKRO01,5,0.18,147.94520547945206
596472.6,GW4430,Goodwood,ZKRO01,6,0.18,294.1508712328767
131234.94,HVO102,Heron View,ZPED01,3,0.18,64.7186005479452
1100000.0,HVM203,Heron View,ZPED01,4,0.18,542.4657534246576
111295.21,HVO302,Heron View,ZPED01,5,0.18,54.885309041095894
500000.0,HVK203,Heron View,ZLOU01,2,0.16,219.17808219178082
600000.0,HVD303,Heron View,ZPLA01,2,0.16,263.013698630137
127553.41,HVJ301,Heron View,ZBRO01,3,0.14,48.92459561643837
500000.0,GW4049,Goodwood,ZTPI01,3,0.16,219.17808219178082
850000.0,HVD304,Heron View,ZRAN01,22,0.18,419.17808219178085
126300.0,HVK202,Heron View,ZRAN01,23,0.18,62.28493150684932
114452.74,HVK401,Heron View,ZRAN01,24,0.18,56.44244712328767
178013.84,HVK305,Heron View,ZRAN01,25,0.18,87.78764712328766
252491.78,HVG203,Heron View,ZRAN01,26,0.18,124.51649424657535
200000.0,HVG202,Heron View,ZRAN01,27,0.18,98.63013698630137
200000.0,HVJ201,Heron View,ZZYL02,2,0.14,76.7123287671233
123613.01,HVK205,Heron View,ZZYL02,3,0.14,47.41320931506849
500000.0,HVK101,Heron View,ZMIN01,2,0.16,219.17808219178082
120000.0,HVK105,Heron View,ZCRO01,6,0.18,59.178082191780824
110000.0,HVK103,Heron View,ZCRO01,7,0.18,54.24657534246575
110000.0,HVK302,Heron View,ZCRO01,8,0.18,54.24657534246575
120000.0,HVK303,Heron View,ZCRO01,9,0.18,59.178082191780824
100000.0,HVO201,Heron View,ZCRO01,10,0.18,49.31506849315068
120000.0,HVO101,Heron View,ZCRO01,12,0.18,59.178082191780824
110000.0,HVO203,Heron View,ZCRO01,11,0.18,54.24657534246575
150000.0,HVC204,Heron View,ZCRO01,13,0.18,73.97260273972603
150000.0,HVK101,Heron View,ZCRO01,14,0.18,73.97260273972603
110000.0,HVG101,Heron View,ZCRO01,16,0.18,54.24657534246575
110000.0,HVE303,Heron View,ZCRO01,17,0.18,54.24657534246575
254616.44,HVC305,Heron View,ZDEK01,3,0.16,111.61268602739726
250000.0,GW3657,Goodwood,ZDEK01,4,0.16,109.58904109589041
300931.51,HVM101,Heron View,ZAFR01,4,0.18,148.40458027397258
1100000.0,HVM202,Heron View,ZAFR01,5,0.18,542.4657534246576
943566.44,HVG303,Heron View,ZAFR01,6,0.18,465.3204361643835
100000.0,HVK206,Heron View,ZFOU01,2,0.14,38.35616438356165
187515.41,HVO202,Heron View,ZWAL01,2,0.14,71.9237189041096
600000.0,HVG302,Heron View,ZEDE01,2,0.16,263.013698630137
504150.68,HVO204,Heron View,ZTSO01,2,0.16,220.99755835616438
1100000.0,HVM104,Heron View,ZDEB01,8,0.18,542.4657534246576
1100000.0,HVO303,Heron View,ZDEB01,7,0.18,542.4657534246576
1100000.0,HVI101,Heron View,ZDEB01,9,0.18,542.4657534246576
1000000.0,HVI104,Heron View,ZRUS01,2,0.18,493.1506849315069
